party,seats,sq_cabinet,sq_pm,election_year,banzhaf,shapley,splus,country,cabinet_name,caretaker,cabinet_party,prime_minister,left_rightx,left_righty,cabinet_seats,total_cabinet_size,party_name_english,country_id,election_id,seats_share,enpp,mingov,bicameral,miw_proportion,cabinet_proportion,seats_proportion,country_dummy1,country_dummy2,country_dummy3,country_dummy4,country_dummy5,country_dummy6,country_dummy7,country_dummy8,country_dummy9,country_dummy10,country_dummy11,country_dummy12,country_dummy13
PCP,15,0,0,1999,.027777778,.033333331,.054766189,PRT,Guterres II,0,0,0,2.9222222,,0,23,Portuguese Communist Party,63,352,6.521739,2.6131198,1,0,.1,0,.065217391,0,0,0,0,0,0,0,0,0,0,0,1,0
PS,115,1,1,1999,.8611111,.83333331,.7914592,PRT,Guterres II,0,1,1,4.0527778,,17,23,Socialist Party,63,352,50,2.6131198,1,0,.5,1,.5,0,0,0,0,0,0,0,0,0,0,0,1,0
CDS-PP,15,0,0,1999,.027777778,.033333331,.054766189,PRT,Guterres II,0,0,0,7.935,,0,23,People's Party,63,352,6.521739,2.6131198,1,0,.1,0,.065217391,0,0,0,0,0,0,0,0,0,0,0,1,0
PEV,2,0,0,1999,.027777778,.033333331,.021691164,PRT,Guterres II,0,0,0,2.1710526,,0,23,Ecology Party -- Greens,63,352,.86956519,2.6131198,1,0,.1,0,.0086956518,0,0,0,0,0,0,0,0,0,0,0,1,0
BE,2,0,0,1999,.027777778,.033333331,.022551078,PRT,Guterres II,0,0,0,1.95,,0,23,Bloc of the Left,63,352,.86956519,2.6131198,1,0,.1,0,.0086956518,0,0,0,0,0,0,0,0,0,0,0,1,0
PSD,81,0,0,1999,.027777778,.033333331,.054766189,PRT,Guterres II,0,0,0,6.1769444,,0,23,Social Democratic Party,63,352,35.217392,2.6131198,1,0,.1,0,.35217392,0,0,0,0,0,0,0,0,0,0,0,1,0
KF,30,0,0,1990,.10204081,.12380952,.13068835,DNK,Schluter V,0,1,1,7.1683492,7.3,10,20,Conservatives,21,157,16.759777,4.5558085,1,0,.14285715,.5,.17142858,0,0,0,1,0,0,0,0,0,0,0,0,0
CD,9,1,0,1990,.040816326,.03809524,.040395722,DNK,Schluter V,0,0,0,5.6089948,5.7,0,20,Centre Democrats,21,157,5.0279331,4.5558085,1,0,.057142857,0,.051428571,0,0,0,1,0,0,0,0,0,0,0,0,0
KRF,4,1,0,1990,.020408163,.01904762,.01660691,DNK,Schluter V,0,0,0,5.8095237,6.2,0,20,Christian People's Party,21,157,2.2346368,4.5558085,1,0,.028571429,0,.022857143,0,0,0,1,0,0,0,0,0,0,0,0,0
RV,7,1,0,1990,.040816326,.03809524,.033060025,DNK,Schluter V,0,0,0,4.9697778,4.8,0,20,Danish Social-Liberal Party,21,157,3.9106145,4.5558085,1,0,.057142857,0,.039999999,0,0,0,1,0,0,0,0,0,0,0,0,0
SF,15,0,0,1990,.081632651,.076190479,.07752344,DNK,Schluter V,0,0,0,2.1851429,1.9,0,20,Socialist Peoples Party,21,157,8.3798885,4.5558085,1,0,.11428571,0,.085714288,0,0,0,1,0,0,0,0,0,0,0,0,0
